Project ID,Project,Project Manager,Organization,Region,Plan Start,Plan Finish,OD,AD,BAC,Foreign,AC,ETC
2194,Energy Efficiency & Conservation Programme (PGDP- DLI-5),Energy Department- Punjab Energy Efficiency & Conservation Agency,Energy Department,Punjab Based,18-Dec-20,30-Jun-26,67,28,3615.02,0,3500,0
7189,Upgradation and Environmental Improvement of Chungi No. 09 Disposal Station Multan.,WASA Multan,HUD&PHED,South Single,24-Dec-21,30-Jun-27,67,21,3432.84,0,2630.63,452.22
24313,Addition / Alteration & Improvement Works in GORs- Lahore,Communication & Works Department,S&GAD,North Single,01-Jul-23,30-Jun-26,37,12,3400,0,3059.21,190.79
25616,Punjab Rozgar,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,01-Apr-20,29-Jun-26,76,32,10000,0,4790.25,4509.75
26215,Establishment of 200 Bedded Mother & Child Hospital in District Layyah,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Jul-25,53,26,5944.23,0,5444.23,0
29674,Establishment of University of Child Health Sciences at Lahore ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01-Jul-21,29-Jun-26,61,24,4265.75,0,1500,2265.75
29803,Project Readiness Financing (PRF) for Punjab Provincial Projects- Punjab Intermediate Cities Improvement Investment Program (PHASE-II),LG&CD Department,LG&CD Department,Multiple Region,30-Nov-20,28-Jun-25,56,28,4625.52,1,2531,2054.52
29843,Re-construction of Old P&D Building- Lahore,S&GAD,S&GAD,North Single,01-Jul-23,30-Jun-26,37,12,5867.61,0,5000,866.61
29938,Establishment of 200 Bedded Mother & Child Hospital in District Rajanpur,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,15-Mar-21,14-Mar-24,37,26,9028.75,0,3867.03,5160.72
30169,Construction of Flyover at Nadirabad Phatak to Industrial Estate - Multan.,Communication & Works Department,Roads,South Single,04-Feb-20,30-Jun-28,102,33,5377.16,0,4114.32,1162.85
32587,Design and Construction of Net Zero Energy Building (ACEIP - DLI-8),Energy Department,Energy Department,North Single,01-Jul-20,30-Jun-27,85,30,5781.95,0,2085,3505.15
32737,Punjab Human Capital Investment Project (PHCIP) ,Primary and Secondary Healthcare Department- Punjab Social Protection Authority- School Education Department,Planning & Development Board- Punjab,Multiple Region,30-Apr-20,30-Jun-26,75,31,41664,1,31811,167
32962,Enhanced Air Quality Monitoring System In Punjab (DLI-2- PGDP) ,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,01-Jul-21,30-Jun-25,49,24,5205.3,0,3398.5,1026.8
33405,Establishment of Mother & Child Block- Teaching Hospital- DG Khan ,Communication & Works Department- DG Khan Medical College,Specialized Healthcare and Medical Education Department,South Single,01-Jul-20,30-Jun-26,73,30,4463.76,0,1081.94,2381.82
33884,Enhanced Water Quality Monitoring System In Punjab (DLI-2- PGDP),Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,01-Jul-20,30-Jun-24,49,30,2972.72,0,1144.9,1197.82
34010,Extension of Colony Protection Bund of Marala Barrage and Realignment of Tunnelwah Nullah in Sialkot District,Irrigation,Irrigation,North Single,01-Jul-20,30-Jun-26,73,30,3162.29,0,708,1854.29
34257,Establishment of 200 Bedded Mother & Child Hospital in District Bahawalnagar,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,South Single,01-Mar-21,30-Jun-25,53,26,6385.33,0,3375.34,2010
34384,Construction of South Punjab Secretariat & GOR At Bahawalpur and Multan ,Infrastructure Development Authority Punjab (IDAP),S&GAD SPb,South Single,11-Feb-21,30-Jun-25,53,27,7407.03,0,3522.37,3883.65
34413,Induction of Eco-Friendly Buses in Cities of Punjab (DLI-6 PGDP),Punjab Transport Company (PTC)- GoPb- Transport & Masstransit Department- GoPb,Transport & Masstransit Department- GoPb,North Single,03-Nov-23,31-May-26,31,10,4582.59,0,4151.78,215.81
34447,Extension of District Courts Complex Multan,Communication & Works Department- Infrastructure Development Authority Punjab (IDAP),Judiciary,South Single,10-Feb-22,30-Jun-27,66,21,5624.02,0,2448.45,3075.56
34471,Provision of Infrastructural- Academic and Operational Facilities to the Punjab University of Technology- Rasul- M.B.Din ,Communication & Works Department,Commerce & Investment,North Single,01-Jul-21,29-Jun-26,61,24,7525.54,0,5049.41,2076.13
34473,Upgradation of DHQ Hospital District Hafizabad ,Health & Population Department,Federal Fund- Health & Population Department,North Single,24-Mar-21,30-Jun-24,40,26,9795.18,0,6013.84,2781.34
35568,Koh-E-Suleman Improvement Project (KSIP),Planning & Development Board- Punjab,Planning & Development Board- Punjab,South Single,01-Jul-21,30-Jun-26,61,24,5712,0,3573.03,168.97
35995,Construction of Sorra Dam,Irrigation,Irrigation,South Single,01-Jul-21,30-Jun-26,61,24,8151.58,0,1392,6049.58
36137,Establishment of University of Applied Engineering and Emerging Technologies (UAEET)- Sialkot,Infrastructure Development Authority Punjab (IDAP),Higher Education Department,North Single,08-Sept-21,30-Jun-27,71,23,17685.7,0,3169.79,14415.92
36262,Punjab Rural Sustainable Water Supply and Sanitation Project,LG&CD Department,LG&CD Department,Punjab Based,01-Jul-21,30-Jun-28,85,24,96202,1,39125,30705.2
36267,Establishment of University of Gujranwala,Higher Education Department,Higher Education Department,North Single,22-Aug-23,30-Jun-26,35,11,5299.71,0,1335.59,3914.12
36391,Establishment of Emergency and OPD Block Teaching Hospital- DG Khan ,Communication & Works Department- DG Khan Medical College,Specialized Healthcare and Medical Education Department,South Single,01-Jul-21,29-Jun-26,61,24,4035.18,0,1111.57,1923.61
36494,Establishment of 200 Bedded Mother & Child Hospital at Ghalla Godam- Multan,Communication & Works Department- Nishtar Medical University & Allied Hospital- Multan,Specialized Healthcare and Medical Education Department,South Single,07-Apr-21,30-Jun-26,64,26,8116.78,0,2931.75,4685.02
37208,Implementation of Universal Health Coverage under Health Insurance Program in Punjab ,Punjab Health Initiative Management Company (PHIMC)- Specialized Healthcare and Medical Education Department,Specialized Healthcare and Medical Education Department,Punjab Based,01-Jul-21,30-Jun-26,61,24,332845,0,200499,107346
37327,Land Acquisition & Utility Shifting for Dualization of Faisalabad - Chiniot - Sargodha Road (Length =67 Km) - Under PPP Mode,Roads,Communication & Works Department,North Single,10-May-21,30-Jun-26,63,25,3494.39,0,3127.25,323.14
37474,Improving Workforce Readiness in Punjab Project (Cost: FEC $100m- Local $10m),Skill Development & Entrepreneurship Department,Skill Development & Entrepreneurship Department,Punjab Based,13-Jan-23,29-Dec-28,73,15,23982,1,6510.31,14327.39
40989,Umbrella PC-I for provision of land Acquisition / Compensation of structure and PST pertaining to PSDP funded schemes.,Communication & Works Department,Government of Punjab,South Single,01-Jul-21,30-Jun-26,61,24,9816.48,0,7011.65,2747.83
44394,Construction of Bachelor accommodation and Judicial Rest House at Dharampura- District Lahore,Communication & Works Department,Judiciary,North Single,01-Jul-22,29-Jun-26,49,18,3687,0,3452.96,184.04
45331,Punjab Resilient and Inclusive Agriculture Transformation (PRIAT) (2022-23 to 2026-27),Agriculture Department,Agriculture Department- Government of Punjab,Punjab Based,01-Jul-22,30-Jun-27,61,18,54935.56,1,37250.32,3761.62
45369,Construction Of Green Building for EMC- EPD and Allied New Entities Established Under PGDP (DLI-2- PGDP),Infrastructure Development Authority Punjab (IDAP),Environment Protection & Climate Change Department,North Single,01-Jul-22,30-Jun-26,49,18,3723.93,0,2378,7.33
45600,Construction of Rawalpindi Ring Road-R3(38.3 KM) Main Carriageway (MCW) from Banth (N-5) to Thalian (M-2),RDA,HUD&PHED,North Single,08-Mar-22,29-Jun-26,52,20,32997.05,0,22987.99,1209.07
45713,Jinnah Institute of Cardiology- Lahore,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,17-Mar-22,29-Jun-26,52,20,8837.53,0,6016.08,0
46285,Punjab affordable Housing Project (TA Component),Punjab Housing and Town Planning Agency (PHATA),HUD&PHED,Punjab Based,02-Mar-23,13-Jun-28,64,14,3000,1,513.58,1906.42
46296,Construction of Arterial Main Secondary and Distribution Network in the Areas in the Eastern Part of City (Linked with AFD Funded Extension of Water Resources in Faisalabad City Phase-II Project),WASA Faisalabad,HUD&PHED,North Single,14-Sept-23,30-Jun-28,58,11,8453.61,0,1466.07,5987.54
46458,Program for Provision of Missing Facilities in Newly Upgraded Colleges of Nursing in Punjab ,Communication & Works Department- D.G Nursing Punjab,Specialized Healthcare and Medical Education Department,Punjab Based,01-Jul-22,30-Jun-26,49,18,2612.67,0,2411.79,0
47203,Punjab Family Planning Program (Technical Assistance Component),Health & Population Department,Health & Population Department,Punjab Based,01-Jul-23,30-Jun-27,49,12,4282.35,1,1885.05,1045.9
47404,Construction of Dual Carriageway from Sheikh Fazal to Chichawatni - Length-24.15 Km,Roads,Roads,North Single,01-Jul-22,30-Jun-26,49,18,4596.26,0,4594.26,0
47476,Widening / Improvement of Manga Raiwind Road- Length 18.00 Km.,Communication & Works Department,Government of Punjab,North Single,01-Jul-22,30-Jun-26,49,18,2609.29,0,1939.95,589.34
47540,Rehabilitation of Faisalabad circular road / By Pass Ring Length = 97.80 Km.,Roads,Roads,North Single,01-Jul-22,30-Jun-26,49,18,7064.5,0,7060.5,3.9
47576,Rehabilitation of Khushab Muzaffar Garh road Km No. 70.70 to 134.80 (District boundary Khushab to Daal More) District Jhang,Roads,Roads,North Single,01-Jul-22,30-Jun-26,49,18,2967.82,0,2387.12,510.7
47593,Rehabilitation of Akwal-Tammun-Multan Khurdh- Shah Muhammad Wali to CPEC Tarap Interchange L = 49.00 Km ,Communication & Works Department,Government of Punjab,North Single,01-Jul-22,30-Jun-26,49,18,2616.4,0,2606.4,0
47606,Rehabilitation of Dual Carriageway Kasur Depalpur road Length 98.95 Km District Kasur & Okara,Roads,Roads,North Single,01-Jul-22,30-Jun-26,49,18,6997.31,0,6996.31,0
47609,Rehabilitation / Improvement of Lahore Jaranwala road Length 99.00 Km District Sheikhupura.,Roads,Roads,North Single,01-Jul-22,30-Jun-26,49,18,6995.51,0,4579.31,2276.2
47610,Rehabilitation of metalled road Sahiwal to Pakpattan Length 40.00 Km- District Sahiwal,Communication & Works Department- Roads,Communication & Works Department- Roads,North Single,01-Jul-22,30-Jun-26,49,18,4223.43,0,4091.87,0
47845,Rehabilitation of Shahdara - Maqboolpura - Kala Khatai - Narang Mandi Road Length=34.11 Km in Tehsil Ferozewala District Sheikhupura,Communication & Works Department,Communication & Works Department,North Single,01-Jul-22,30-Jun-26,49,18,3515.73,0,3473.29,0
49249,Construction/ Widening / Improvement of Road from Hafizabad to Gujrat via Head Khanki along L.C.C Mian Canal- Length = 45.00 Km- District Hafizabad & Gujranwala ,Roads,Roads,North Single,21-Nov-22,30-Jun-26,44,16,8296.55,0,3322.36,4877.2
52129,Construction of New Courts Blocks at the Site of old Administration Block at Lahore High Court- Lahore,Communication & Works Department,Judiciary,North Single,31-May-23,29-Jun-27,50,13,5671.38,0,2945,1926.38
52357,Re-construction of Lady Willingdon Hospital- Lahore,Infrastructure Development Authority Punjab (IDAP)- King Edward Medical University,Specialized Healthcare and Medical Education Department,North Single,21-Aug-23,30-Jun-26,35,11,7508.45,0,4173,2599.45
52419,Development of a Controlled Access Corridor Facility from Niazi Interchange to to Babu Sabu Interchange Lahore,LDA,HUD&PHED,North Single,08-Sept-23,30-Jun-26,34,11,11355.16,0,11354.16,0
52466,Rehabilitation and Development of Qila Kohna Qasim Bagh (QKQB) for the Promotion of Tourism and Preservation of Tangible and Intangible Heritage- Multan,Walled City of Lahore Authority,LG&CD Department,South Single,13-Nov-23,29-Jun-26,32,10,2781.41,0,400,2281.41
55079,Construction of 313 Residences for Police Officers/ Official (BS 1-20) at Lahore (Phase-I),Communication & Works Department,Police Department,North Single,01-Jan-24,31-Dec-26,37,9,2941.35,0,2773.27,118.08
55128,Integrated Master Planning and Development / Expansion of Data Darbar Complex- Including Traffic Management,Auqaf & Religious Affairs- Communication & Works Department- LDA,Auqaf & Religious Affairs,North Single,31-Jan-24,30-Jun-27,42,9,6392.8,0,355.95,5036.85
55616,Rehabilitation of Multan-Vehari Road Length 93.5 Km.,Communication & Works Department,Communication & Works Department,South Single,01-Sept-24,30-Jun-28,47,5,13000,0,2000,6500
55619,Dualization of Faisalabad Chiniot Sargodha road from Kamalpur Interchange to Tehsil chowk Chiniot- District Faisalabad & Chiniot Length 24.00 Km.,Communication & Works Department,Communication & Works Department,North Single,01-Mar-24,30-Jun-26,28,8,7575.43,0,3000,2535.43
55629,Smart Safe Cities for 19 Districts (Phase II),Punjab Safe Cities Authority (PSCA),Police Department,Multiple Region,01-Jul-24,30-Jun-25,12,6,5645.91,0,3087.2,12.8
55681,Punjab Socio Economic Registry (PSER),Bureau of Statistics Punjab- District Administration- Punjab Information Technology Board (PITB)- Punjab Social Protection Authority- Urban Unit,Planning & Development Board- Punjab,Punjab Based,01-Jul-24,30-Jun-27,36,6,5112.68,0,1357.27,1706.84
55791,Establishment of Nawaz Sharif Institute of Cancer Treatment and Research- Lahore ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01-Jul-24,28-Feb-27,32,6,52772.52,0,14250.8,26521.72
55881,Developing Resilient Environment and Advancing Municipal Services (DREAMS-I),LG&CD Department,Asian Development Bank (ADB),Multiple Region,01-Jul-24,28-Jun-28,49,6,64480.71,1,5783,54682.71
55924,Nawaz Sharif Institute of Cardiology- Sargodha ,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01-Jul-24,31-Jan-26,19,6,8568.21,0,6000,0
55925,"Chief Minister’s ""Plant for Pakistan"" Initiative",Forestry- Transport,Forestry- Government of Punjab,Punjab Based,01-Apr-24,30-Jun-28,52,8,8000,0,1800,1958.57
55972,Aquaculture: Shrimp Farming in Punjab.,Communication & Works Department- Fisheries,Forestry-WildLife-Fisheries,Multiple Region,01-Jul-24,29-Jun-28,49,6,5010.35,0,896.92,335.77
56111,Rehabilitation of Sahiwal Arifwala road upto District Boundary- Length = 27.00 Km- in District Sahiwal.,Communication & Works Department,Government of Punjab,North Single,01-Jul-24,30-Jun-26,24,6,5334.12,0,2708,1385.7
56114,Rehabilitation / Improvement of road from Fatehjang to Pidigheb road via Dhullian Km 13 to 57.50 Length = 44.50 Tehsil Fatehjang & Pindigheb District Attock,Communication & Works Department,Communication & Works Department,North Single,20-Sept-24,27-Sept-28,49,5,4703.32,0,1451,1626.32
56116,Rehabilitation of Talagang – Kallar Kahar – Choa Saiden Shah Road.,Communication & Works Department,Communication & Works Department,North Single,15-Aug-24,30-Jun-28,47,5,5163.44,0,2287,1438.44
56123,Rehabilitatation of road from Bahawalnagar to Head Sulemanki Length: 75.00 Km District Bahawalnagar ,Communication & Works Department,Communication & Works Department,South Single,02-Sept-24,30-Jun-28,47,5,6781.31,0,1688,2793.31
56137,Rehabilitation of road from Shahpur and Jhal Chakian to Bhalwal via Lak Morr Length (38.40+23.00) Total Length 61.40 Km in District Sargodha,Communication & Works Department,Communication & Works Department,North Single,01-Apr-24,30-Jun-28,52,8,4148.03,0,3758,195.03
56162,Rehabilitation of G.T road from Chan Da Qila to Aziz Cross Chowk in Gujranwala City Length 12.75 Km District Gujranwala,Communication & Works Department,Communication & Works Department,North Single,01-Apr-24,30-Jun-28,52,8,5729.35,0,4046,1441.35
56164,Rehabilitation of Jhang Bhakkar road from Mallu More to Bharairhi Km no. 231.00 to 272.00- Length 41.00 Km- District Jhang,Roads,Roads,North Single,01-Jul-24,30-Jun-26,24,6,3200,0,2000.73,599.28
56174,Rehabilitation of Gujrat Sargodha road Km 27.90 to 122.20 (Dual Carriageway) Length 94.30 Km District M.B.Din,Communication & Works Department,Communication & Works Department,North Single,01-Apr-24,30-Jun-28,52,8,9802.06,0,1270,4532.06
56176,Rehabilitation of Muridke Narowal road (Section Muridke to District Boundary) Sheikhupura. ,Communication & Works Department,Communication & Works Department,North Single,01-Apr-24,30-Jun-26,27,8,8698.86,0,2336,3362.86
56177,Rehabilitation / Re-Construction of road from Narowal to Muridke (Length Km No.0.00 to 33.21 = 33.21 Km upto District Boundary) District Narowal,Communication & Works Department,Communication & Works Department,North Single,01-Apr-24,30-Jun-28,52,8,6151.53,0,2335,1908.53
56186,Rehabilitation / Improvement of Sahiwal – Arifwala - Bahawalnagar Road- (Section District Pakpattan) Length = 40.25 Km in District Pakpattan. ,Communication & Works Department,Communication & Works Department,North Single,01-Jul-24,30-Jun-27,36,6,7648.03,0,3338,2243.06
57298,Concrete Lining of Irrigation Channels to Improve Water Delivery Performance and Conveyance Efficiency-III,Irrigation,Irrigation,Punjab Based,01-Jul-24,06-Jun-28,48,6,3995.29,0,400,1195.29
57384,Chief Minister Punjab Free Solar Panel Scheme,Energy Department,Energy Department,Punjab Based,01-Jul-24,30-Sept-25,15,6,9975.39,0,5772.84,326.4
57896,Program for Revamping of RHCs (Phase-II),Communication & Works Department- Health & Population Department,Health & Population Department,Punjab Based,01-Jul-24,30-Jun-26,24,6,4288.96,0,2144.48,0
57897,Program for Revamping of BHUs of North and Central Punjab (Phase-II),Communication & Works Department- Health & Population Department,Health & Population Department,Punjab Based,01-Jul-24,30-Jun-26,24,6,9594.42,0,4797.21,0
57924,CM Punjab Laptop Program ,Punjab Information Technology Board (PITB),Higher Education Department,Punjab Based,01-Jul-24,30-Jun-26,24,6,27000,0,8042,3958
57946,Central Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,01-Nov-24,31-Oct-27,36,4,4757.2,0,911.58,2785.94
58083,Chief Minister Punjab Kissan Card (2024-25 to 2025-26),Agriculture Department,Agriculture Department,Punjab Based,01-Jul-24,30-Jun-26,24,6,9000,0,2700,0
58091,CM Lahore Development Program- Ravi Zone-I.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,7800,0,3147,1373
58092,CM Lahore Development Program- Ravi Zone-II.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,7000,0,3625,975
58093,CM Lahore Development Program- Data Gunj Baksh Zone.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,31-Dec-26,27,5,4700,0,1945,805
58094,CM Lahore Development Program- Samanabad Zone.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-27,33,5,3050,0,1432,468
58095,CM Lahore Development Program- Nishter Zone-I.,WASA Lahore,HUD&PHED,North Single,30-Sept-24,30-Jun-26,21,5,8000,0,3476,1354
58096,CM Lahore Development Program- Nishter Zone-II.,WASA Lahore,HUD&PHED,North Single,01-Jul-24,30-Jun-26,24,6,7901,0,3915,1196
58099,CM Lahore Development Program- Wahga Zone-II.,WASA Lahore,HUD&PHED,North Single,01-Jul-24,30-Jun-26,24,6,8997.48,0,1700,2187.48
58237,Chief Minister’s Program for Solarization of Agricultural Tubewells in Punjab (2024-25 to 2025-26),Energy Department,Agriculture Department,Punjab Based,01-Jul-24,30-Jun-26,24,6,8826.3,0,70,0
58266,Apni Chhat Apna Ghar Program,Punjab Housing and Town Planning Agency (PHATA),HUD&PHED,Punjab Based,12-Aug-24,31-Dec-28,53,5,10000,0,75,9825
58520,Restoration/ Improvement of Jhang Shorkot Kabirwala Road from Aliabad Bypass to District Boundary Jhang- Length = 64.40 Km- District Jhang,Communication & Works Department,Government of Punjab,North Single,01-Jul-24,30-Jun-27,36,6,3647.06,0,2626.37,346.69
58814,Restoration / Improvement of Shahi Road upto Bahadurpur I/C Bypass at Khanpur and R.Y Khan Sec: Channigoth-R.Y.Khan,Communication & Works Department- Roads,Communication & Works Department- Roads,South Single,01-Sept-24,30-Jun-28,47,5,2506.87,0,2028.38,375.49
59027,Reconstruction/ Rehabilitation of GT road from Quaid-e-Azam Interchange (Lahore Ring Road) to Wahga Border- District Lahore,Communication & Works Department,Government of Punjab,North Single,15-Aug-24,30-Jun-27,35,5,7129.21,0,2800,2329.21
59157,Establishment of Enforcement Stations of PERA in Punjab (New Construction / Rehabilitation of existing government buildings),Communication & Works Department,S&GAD,Punjab Based,01-Jul-24,30-Jun-27,36,6,9209.43,0,1000,7709.43
59195,South Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,South Single,01-Nov-24,31-Oct-27,36,4,7555.29,0,1486.44,4529.55
59201,North Punjab Non-Formal Education Project,Literacy & Non Formal Basic Education,Literacy & Non Formal Basic Education,North Single,01-Nov-24,31-Oct-27,36,4,5299.14,0,972.04,3225.14
59746,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Allama Iqbal-II Zone- MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,29-Jun-26,24,6,9522,0,100,582
59874,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Ravi Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,27-Nov-24,30-Jun-26,19,4,8350,0,2400,500
59875,Rehabilitation / Improvement of Roads- Streets (P.C.C.) and M&R of Street Lights- Data Gunj Buksh Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,30-Jun-26,24,6,3677,0,900,177
59877,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Nishtar-I Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,30-Jun-26,24,6,8000,0,3000,500
59880,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Shalamar Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,27-Nov-24,30-Jun-26,19,4,2836,0,1600,136
59881,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Aziz Bhatti Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,30-Jun-26,24,6,3947,0,100,147
59882,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Wahga Zone MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,30-Jun-26,24,6,7560,0,100,460
59884,Rehabilitation / Improvement of Roads- Streets (P.C.C.)- Sewerage / Drainage and M&R of Street Lights- Nishtar-II Zone- MC Lahore,LG&CD Department,LG&CD Department,North Single,01-Jul-24,29-Jun-26,24,6,4000,0,1500,300
59926,Establishment of Garment Cities in Punjab,Communication & Works Department- Energy Department- Forestry- Wildlife & Fisheries- Punjab Industrial Estates Development & Management Company (PIEDMC)- Technical Education & Vocational Training Authority (TEVTA),Industries- Commerce & Investment,North Single,01-Jul-24,29-Jun-26,24,6,3877.86,0,2524.44,405.48
59988,Rehabilitation / Improvement of Pail Chowk to Uchali Road Length=55 KM District Khushab ,Communication & Works Department,Government of Punjab,North Single,01-Jul-24,30-Jun-28,49,6,3091.38,0,1100,1841.38
60018,Construction of Flyover at Khawaja Corporation at Adyala Road- District Rawalpindi.,Communication & Works Department,Government of Punjab,North Single,01-Jul-24,30-Jun-27,36,6,3407.31,0,2113,1239.31
60020,Construction of Underpass at GPO Chowk & TM Chowk on Mall Road Including Pedestrain Underpass near AFIC- District Rawalpindi,Communication & Works Department,Government of Punjab,North Single,01-Jul-24,30-Jun-27,36,6,4388.29,0,4370.29,0
60025,CM Punjab: Livestock Card,Livestock & Dairy Development Department,Government of Punjab,Punjab Based,01-Jul-24,30-Jun-26,24,6,4382.08,0,507.64,2845.81
65099,Construction of Additional Carriageway (Dehli - Multan Road) from Pull 114/16-R to Pir Murad Morr- Length=50.60KM- District Vehari,Communication & Works Department,Government of Punjab,South Single,31-Oct-24,30-Jun-28,45,4,8499.48,0,2200,3299.48
65395,Specialized Medical Equipment for Jinnah Institute of Cardiology- Lahore,Infrastructure Development Authority Punjab (IDAP),Specialized Healthcare and Medical Education Department,North Single,01-Dec-24,17-Mar-26,16,4,6889.16,0,2333.6,0
65455,Punjab Smog Mitigation And Response Initiative – Air Safe,Environment Protection & Climate Change Department,Environment Protection & Climate Change Department,Punjab Based,14-Nov-24,30-Jun-26,20,4,5381,0,2000,0
65564,Revamping of Bansara Gali Zoological Garden- Murree,Forestry- Wildlife & Fisheries,Forestry-WildLife-Fisheries,North Single,01-Jul-24,30-Jun-27,36,6,3915.6,0,474.08,301.52
65819,Construction of Additional Carriageway (Dehli-Multan Road) from babar Chowk to Drammawala Morr- Length=19.20 Km ,Communication & Works Department,Communication & Works Department,South Single,17-Dec-24,30-Jun-28,43,3,3108,0,1000,0
65920,Construction of Administrative Tower-A at Old P&D Building site- Lahore,Infrastructure Development Authority Punjab (IDAP),S&GAD,North Single,01-Apr-25,30-Jun-27,27,2,4020.4,0,2000,2019.4
65957,Community Empowerment and Strengthening of Healthcare Access through Maryam Nawaz Health Clinic,Health & Population Department,Health & Population Department,Punjab Based,01-Feb-25,30-Jun-26,17,3,9031.29,0,343.7,0
66061,CM Punjab Asaan Karobar Finance ,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,01-Jan-25,30-Jun-32,91,3,9500,0,550,7150
66062,CM Punjab Asaan Karobar Card,Punjab Small Industries Corporation (PSIC),Industries- Commerce & Investment,Punjab Based,01-Jan-25,30-Jun-30,67,3,9500,0,500,7000
66250,Comprehensive Door-to-Door Socio-Economic Survey of Punjab For Establishing Punjab Socio-Economic Registry (PSER)-PC-II,Planning & Development Board- Punjab,Planning & Development Board- Punjab,Punjab Based,19-Feb-25,02-Jun-26,16,2,7774.31,0,158,0
67015,Dualization of Road from Toba Tek Singh Interchange (M-4) to Rajana Interchange (M-3)- Length=26.44 Km- District T.T.Singh,Communication & Works Department,Communication & Works Department,North Single,10-Mar-25,30-Jun-28,40,2,7770.95,0,2000,5570.95
67295,Construction of Punjab Revenue Authority (PRA) Headquarter,Infrastructure Development Authority Punjab (IDAP)- Public Buildings,Finance Department,North Single,14-Mar-25,30-Jun-26,16,2,4023,0,2000,2022
34175,Establishment of 200 Bedded Mother & Child Hospital in District Attock,Infrastructure Development Authority Punjab (IDAP),Federal Fund- Health & Population Department,North Single,15-Mar-21,14-Jul-25,53,26,5320.01,0,4820.01,0
37225,Institutional Strengthening of P&D Board and Capacity Building of Public Sector Employees,Planning & Development Board- Punjab- Punjab Resource Management & Policy Unit (PRMPU),Planning & Development Board- Punjab,North Single,01-Jul-21,29-Jun-26,61,24,2637.01,0,1177.65,810.72
4605,Extension of Water Resources Faisalabad City Phase II (French Funded).,WASA Faisalabad,HUD&PHED,North Single,20-Sept-21,30-Sept-28,86,23,14636.93,1,4254.5,4276.76
